src,dst,volume,path_nodes
12652,16339,1.0,"[12652, 16339]"
15008,17223,287.0,"[15008, 17223]"
11112,13165,300.0,"[11112, 13165]"
16325,16117,122.0,"[16325, 16117]"
11561,16236,1.0,"[11561, 10748, 16236]"
18441,18110,300.0,"[18441, 18110]"
16117,10963,1.0,"[16117, 10963]"
11209,17464,1.0,"[11209, 17464]"
15891,10955,1.0,"[15891, 10955]"
18812,12562,1.0,"[18812, 12562]"
19915,11261,67.0,"[19915, 11261]"
17282,11200,28.0,"[17282, 11200]"
11147,12216,1.0,"[11147, 12216]"
13417,13100,1.0,"[13417, 13100]"
12940,12216,1.0,"[12940, 12216]"
12352,15948,1.0,"[12352, 15948]"
12352,18448,261.0,"[12352, 18448]"
16117,13917,69.0,"[16117, 13917]"
15891,10568,1.0,"[15891, 10568]"
17522,16236,88.0,"[17522, 16236]"
14234,12868,43.0,"[14234, 12868]"
19915,18799,90.00000009,"[19915, 18799]"
19915,18799,1.000000001,"[19915, 10796, 18799]"
19300,11455,45.0,"[19300, 11455]"
18542,15183,1.0,"[18542, 15183]"
16855,19134,1.0,"[16855, 19134]"
13694,13582,1.0,"[13694, 15483, 13582]"
12205,19502,236.0,"[12205, 19502]"
18941,12652,259.0,"[18941, 12652]"
10748,13582,1.0,"[10748, 13582]"
13694,14704,300.0,"[13694, 14704]"
12652,10044,168.0,"[12652, 10044]"
10705,15651,300.0,"[10705, 15651]"
11112,13694,300.0,"[11112, 13694]"
15483,15891,1.0,"[15483, 18812, 15891]"
13088,11147,300.0,"[13088, 11147]"
13917,13417,1.0,"[13917, 13417]"
16236,15483,1.0,"[16236, 10657, 15483]"
13073,12652,300.0,"[13073, 12652]"
12352,13454,300.0,"[12352, 13454]"
13636,11181,300.0,"[13636, 11181]"
11147,19430,300.0,"[11147, 19430]"
15483,11209,300.0,"[15483, 11209]"
18411,15008,1.0,"[18411, 15008]"
19300,12940,300.0,"[19300, 12940]"
10916,10177,1.0,"[10916, 10177]"
15270,12562,300.0,"[15270, 12562]"
13509,15724,269.99999916,"[13509, 15724]"
13509,15724,0.9999999999,"[13509, 12652, 15724]"
12940,10177,90.00000009,"[12940, 10177]"
